Record Date,State,Interest Rate Percent,Record Fiscal Year,Record Fiscal Quarter,Record Calendar Year,Record Calendar Month
2016-10-03,Arizona,2.22559842,2017,1,2016,4
2016-10-03,Arkansas,2.22559842,2017,1,2016,4
2016-10-03,California,2.22559842,2017,1,2016,4
2016-10-03,Connecticut,2.22559842,2017,1,2016,4
2016-10-03,Delaware,2.22559842,2017,1,2016,4
2016-10-03,Indiana,2.22559842,2017,1,2016,4
2016-10-03,Kentucky,2.22559842,2017,1,2016,4
2016-10-03,New York,2.22559842,2017,1,2016,4
2016-10-03,North Carolina,2.22559842,2017,1,2016,4
2016-10-03,Ohio,2.22559842,2017,1,2016,4
2016-10-03,Rhode Island,2.22559842,2017,1,2016,4
2016-10-03,South Carolina,2.22559842,2017,1,2016,4
2016-10-03,Virgin Islands,2.22559842,2017,1,2016,4
2016-10-04,Arizona,2.22559842,2017,1,2016,4
2016-10-04,Arkansas,2.22559842,2017,1,2016,4
2016-10-04,California,2.22559842,2017,1,2016,4
2016-10-04,Connecticut,2.22559842,2017,1,2016,4
2016-10-04,Delaware,2.22559842,2017,1,2016,4
2016-10-04,Indiana,2.22559842,2017,1,2016,4
2016-10-04,Kentucky,2.22559842,2017,1,2016,4
2016-10-04,New York,2.22559842,2017,1,2016,4
2016-10-04,North Carolina,2.22559842,2017,1,2016,4
2016-10-04,Ohio,2.22559842,2017,1,2016,4
2016-10-04,Rhode Island,2.22559842,2017,1,2016,4
2016-10-04,South Carolina,2.22559842,2017,1,2016,4
2016-10-04,Virgin Islands,2.22559842,2017,1,2016,4
2016-10-05,Arizona,2.22559842,2017,1,2016,4
2016-10-05,Arkansas,2.22559842,2017,1,2016,4
2016-10-05,California,2.22559842,2017,1,2016,4
2016-10-05,Connecticut,2.22559842,2017,1,2016,4
2016-10-05,Delaware,2.22559842,2017,1,2016,4
2016-10-05,Indiana,2.22559842,2017,1,2016,4
2016-10-05,Kentucky,2.22559842,2017,1,2016,4
2016-10-05,New York,2.22559842,2017,1,2016,4
2016-10-05,North Carolina,2.22559842,2017,1,2016,4
2016-10-05,Ohio,2.22559842,2017,1,2016,4
2016-10-05,Rhode Island,2.22559842,2017,1,2016,4
2016-10-05,South Carolina,2.22559842,2017,1,2016,4
2016-10-05,Virgin Islands,2.22559842,2017,1,2016,4
2016-10-06,Arizona,2.22559842,2017,1,2016,4
2016-10-06,Arkansas,2.22559842,2017,1,2016,4
2016-10-06,California,2.22559842,2017,1,2016,4
2016-10-06,Connecticut,2.22559842,2017,1,2016,4
2016-10-06,Delaware,2.22559842,2017,1,2016,4
2016-10-06,Indiana,2.22559842,2017,1,2016,4
